Year,Term,Department Code,Name,Course No,Section,Instructor,Start Time,End Time,Days,Availability
2016,Spring,AAS 486,Sen Sem in Afr Amer Studies, 21015,501,"Asumah, Seth",7:00 PM,9:30 PM ,T,4
2016,Spring,ADV 200,Major and Career Exploration, 22038,001,"Frenyea, Tracy",3:00 PM,3:50 PM ,W,0
2016,Spring,AED 300,Intro:Secondary Social Studies, 20989,601,"Miller, James",5:45 PM,7:00 PM ,W,0
2016,Spring,AED 300,Intro:Secondary Social Studies, 22509,L01,"Miller, James",TBA,TBA,,0
2016,Spring,AED 300,Intro:Secondary Social Studies, 20990,602,"Miller, James",7:25 PM,8:40 PM ,W,0
2016,Spring,AED 300,Intro:Secondary Social Studies, 22510,L02,"Miller, James",TBA,TBA,,0
2016,Spring,AED 310,Writing in Social Studies, 20686,701,"Fanelli, Jeannette",4:20 PM,6:50 PM ,T,7
2016,Spring,AED 323,Seminar for Field Experience, 20642,501,"Martinez, Patricia",12:40 PM, 1:30 PM,W,22
2016,Spring,AED 376,Stu.Teach: English in Mid.Sch., 21817,601,Staff,TBA,TBA,,0
2016,Spring,AED 377,Stu.Teach: English in the H.S., 21247,601,Staff,TBA,TBA,,0
2016,Spring,AED 378,Student Teaching Colloquia, 21687,601,"Hobson, Sarah",TBA,TBA,,6
2016,Spring,AED 391,Intro: Adolescence Education, 20596,701,"Janke, Rena",4:20 PM,6:50 PM ,M,1
2016,Spring,AED 391,Intro: Adolescence Education, 20597,L01,Staff,TBA,TBA,,1
2016,Spring,AED 391,Intro: Adolescence Education, 20785,702,"Janke, Rena",4:20 PM,6:50 PM ,W,7
2016,Spring,AED 391,Intro: Adolescence Education, 20835,L02,Staff,TBA,TBA,,7
2016,Spring,AED 392,Meth. I:Teach Adolescence Math, 20902,601,"Gfeller, Mary",4:20 PM,6:50 PM ,T,11
2016,Spring,AED 392,Meth. I:Teach Adolescence Math, 21985,L01,"Gfeller, Mary",TBA,TBA,,11
2016,Spring,AED 400,Adol.Soc.Studies: Stu.Teach I, 22874,630,Staff,TBA,TBA,,0
2016,Spring,AED 401,Adol.Soc.Studies: Stu.Teach II, 22875,640,Staff,TBA,TBA,,0
2016,Spring,AED 402,Student Teaching Seminar, 21059,601,"Peterson, Gigi",TBA,TBA,,0
2016,Spring,AED 402,Student Teaching Seminar, 23134,602,"Peterson, Gigi",TBA,TBA,,0
2016,Spring,AED 408,Teaching Writing, 21131,601,"Davies, Laura",3:00 PM,4:15 PM ,WM,6
2016,Spring,AED 409,Particip-Observ:Teach Writing, 21132,501,"Bender, Geoffrey",1:50 PM,2:40 PM ,M,7
2016,Spring,AED 437,Method Second Lang. I, 20581,601,"Temple, Codruta",2:50 PM,4:05 PM ,TH,7
2016,Spring,AED 438,Methods Second Lang. II, 20582,601,"Temple, Codruta",4:20 PM,6:50 PM ,W,7
2016,Spring,AED 439,Stu Teach: Adol Ed Second Lang, 22901,601,Staff,TBA,TBA,,50
2016,Spring,AED 440,St.Tchng. Adol. Ed. TESOL, 22040,601,Staff,TBA,TBA,,0
2016,Spring,AED 441,Meth:Teach Lit & Crit.Literacy, 20711,601,"Bender, Geoffrey",2:50 PM,4:05 PM ,TH,7
2016,Spring,AED 442,Meth.I:Teach Science-Mid/Sec, 20752,601,"Conner, Timothy",4:20 PM,6:50 PM ,W,4
2016,Spring,AED 442,Meth.I:Teach Science-Mid/Sec, 20753,L01,"Conner, Timothy",TBA,TBA,,4
2016,Spring,AED 444,Laboratory Practicum, 22149,601,"Janke, Rena",3:00 PM,3:50 PM ,M,9
2016,Spring,AED 445,Student Teach: Adol.Educ-Sci., 22935,601,Staff,TBA,TBA,,0
2016,Spring,AED 492,Meth II:Field Exp: Adoles.Math, 20903,601,"Dickerson, David",4:20 PM,6:50 PM ,H,2
2016,Spring,AED 492,Meth II:Field Exp: Adoles.Math, 21986,L01,"Dickerson, David",TBA,TBA,,2
2016,Spring,AED 493,St. Teach: Adolescence Math I, 20904,630,Staff,TBA,TBA,,0
2016,Spring,AED 494,St. Teach: Adolescence Math II, 20838,640,Staff,TBA,TBA,,0
2016,Spring,AED 576,Student Teaching:Middle School, 21046,601,Staff,TBA,TBA,,0
2016,Spring,AED 577,Student Teaching: High School, 21047,601,Staff,TBA,TBA,,0
2016,Spring,AED 578,Master's Project & Colloquia, 21354,601,"Hobson, Sarah",TBA,TBA,,6
2016,Spring,AED 601,Methods I: Teach Adoles.Math, 21568,601,"Gfeller, Mary",4:20 PM,6:50 PM ,T,5
2016,Spring,AED 601,Methods I: Teach Adoles.Math, 21993,L01,"Gfeller, Mary",TBA,TBA,,5
2016,Spring,AED 602,Methods II:Field Exp-Adol.Math, 20972,601,"Dickerson, David",4:20 PM,6:50 PM ,H,5
2016,Spring,AED 602,Methods II:Field Exp-Adol.Math, 21987,L01,"Dickerson, David",TBA,TBA,,5
2016,Spring,AED 642,Meth I:Teach Sci - Mid&Sec Sch, 20754,001,"Conner, Timothy",4:20 PM,6:50 PM ,W,8
2016,Spring,AED 642,Meth I:Teach Sci - Mid&Sec Sch, 20755,L01,"Conner, Timothy",TBA,TBA,,8
2016,Spring,AED 645,Stud Teach:Adoles Educ-Science, 20829,601,Staff,TBA,TBA,,0
2016,Spring,AED 668,Language Devel. in Adolescence, 20924,001,"Hobson, Sarah",4:20 PM,6:50 PM ,T,5
2016,Spring,AED 668,Language Devel. in Adolescence, 20919,601,"Hobson, Sarah",4:20 PM,6:50 PM ,T,4
2016,Spring,AED 669,Part-Observ Exp: Lang. Devel., 20920,501,"Hobson, Sarah",7:00 PM,7:50 PM ,T,4
2016,Spring,AED 678,MSED_AEN Final Project, 21373,601,Staff,TBA,TBA,,5
2016,Spring,AED 693,Student Teach: Adoles. Math I, 20925,630,Staff,TBA,TBA,,10
2016,Spring,AED 694,Student Teach: Adoles. Math II, 22689,640,Staff,TBA,TBA,,10
2016,Spring,AFS 102,Found of the U.S. Air Force II, 21824,001,"Schrader, David",TBA,TBA,,18
2016,Spring,AFS 142,Initial Military Exper. II, 21851,001,"Schrader, David",TBA,TBA,,13
2016,Spring,AFS 202,Evol:USAF Air & Space Power II, 21850,001,"Schrader, David",TBA,TBA,,12
2016,Spring,AFS 242,Intermediate Military Exper II, 21852,001,"Schrader, David",TBA,TBA,,12
2016,Spring,AFS 342,Jr.Officer Leadership Exper II, 22574,001,"Schrader, David",TBA,TBA,,14
2016,Spring,AFS 402,Affrs/Prep: Active Duty II, 23296,001,"Schrader, David",TBA,TBA,,13
2016,Spring,AFS 442,Precommissioning Lab, 23298,L01,"Schrader, David",TBA,TBA,,14
2016,Spring,ANT 102,Intro: Cultural Anthropology, 20270,001,"Pulsifer, Timothy",3:00 PM,4:15 PM ,WM,4
2016,Spring,ANT 102,Intro: Cultural Anthropology, 20271,002,"Pulsifer, Timothy",4:25 PM,5:40 PM ,WM,16
2016,Spring,ANT 102,Intro: Cultural Anthropology, 20272,003,"Sheehan, John",10:20 AM, 11:10 AM,WFM,2
2016,Spring,ANT 102,Intro: Cultural Anthropology, 20383,004,"Sheehan, John",09:10 AM, 10:00 AM,WFM,1
2016,Spring,ANT 102,Intro: Cultural Anthropology, 21070,005,"Kone, Kassim",08:30 AM, 09:45 AM,TH,25
2016,Spring,ANT 102,Intro: Cultural Anthropology, 22145,006,"Kone, Kassim",10:05 AM, 11:20 AM,TH,0
2016,Spring,ANT 102,Intro: Cultural Anthropology, 21899,007,"Stull, Scott",11:40 AM, 12:55 PM,TH,0
2016,Spring,ANT 230,Prejudice and Discrimination, 21307,001,"Sosa, John",11:30 AM, 12:20 PM,WFM,0
2016,Spring,ANT 230,Prejudice and Discrimination, 21309,002,"Sosa, John",12:40 PM, 1:30 PM,WFM,0
2016,Spring,ANT 234,Anthropology of Gender, 21675,001,"Stull, Scott",2:50 PM,4:05 PM ,TH,0
2016,Spring,ANT 234,Anthropology of Gender, 22150,002,"Steadman, Sharon",08:30 AM, 09:45 AM,TH,0
2016,Spring,ANT 300,Human Evolution and Survival, 20273,001,"McDowell-Loudan, Ellis",08:30 AM, 09:45 AM,TH,2
2016,Spring,ANT 300,Human Evolution and Survival, 20274,002,"McDowell-Loudan, Ellis",10:05 AM, 11:20 AM,TH,0
2016,Spring,ANT 300,Human Evolution and Survival, 20906,003,"Trombley, Jeremy",1:15 PM,2:30 PM ,TH,0
2016,Spring,ANT 300,Human Evolution and Survival, 20907,004,"Trombley, Jeremy",2:50 PM,4:05 PM ,TH,4
2016,Spring,ANT 301,Native American Archaeology, 23077,001,"McDowell-Loudan, Ellis",4:20 PM,6:50 PM ,M,24
2016,Spring,ANT 304,Peoples of Africa, 23084,001,"Kone, Kassim",4:20 PM,6:50 PM ,T,19
2016,Spring,ANT 310,People of So. and Central Asia, 23085,001,"Steadman, Sharon",11:40 AM, 12:55 PM,TH,0
2016,Spring,ANT 493,Anthropological Methods, 23100,001,"Sosa, John",09:10 AM, 10:00 AM,WFM,1
2016,Spring,ANT 495,Anthropology Honors Course I, 23271,501,"Steadman, Sharon",TBA,TBA,,0
2016,Spring,ANT 496,Anthropology Honors Course II, 23141,501,"Steadman, Sharon",TBA,TBA,,4
2016,Spring,ANT 550,Independent Study:Anthropology, 23272,501,"McDowell-Loudan, Ellis",TBA,TBA,,0
2016,Spring,ANT 550,Independent Study:Anthropology, 23275,502,"Sosa, John",TBA,TBA,,0
2016,Spring,ANT 550,Independent Study:Anthropology, 23303,503,"Steadman, Sharon",TBA,TBA,,1
2016,Spring,ANT 550,Independent Study:Anthropology, 23386,504,"Sosa, John",TBA,TBA,,0
2016,Spring,ANT 550,Independent Study:Anthropology, 23415,505,"Steadman, Sharon",TBA,TBA,,0
2016,Spring,ARA 102,Beginning Arabic II, 21061,001,Staff,TBA,TBA,,0
2016,Spring,ARA 202,Intermediate Arabic II, 21172,001,Staff,TBA,TBA,,0
2016,Spring,ASL 101,Beginning American Sign Lang.I, 21060,001,"Sakellariou, Amy",10:05 AM, 11:20 AM,TH,0
2016,Spring,ASL 101,Beginning American Sign Lang.I, 22309,002,"Sakellariou, Amy",08:30 AM, 09:45 AM,TH,0
2016,Spring,ASL 101,Beginning American Sign Lang.I, 20836,601,"Amidon, Kimberly",11:40 AM, 12:55 PM,TH,0
2016,Spring,ASL 101,Beginning American Sign Lang.I, 20772,701,"Amidon, Kimberly",11:40 AM, 12:55 PM,TH,1
2016,Spring,ASL 102,Beginning Amer. Sign Lang. II, 22310,001,"Amidon, Kimberly",08:30 AM, 09:45 AM,TH,7
2016,Spring,ASL 102,Beginning Amer. Sign Lang. II, 20837,601,"Amidon, Kimberly",10:05 AM, 11:20 AM,TH,1
2016,Spring,ASL 102,Beginning Amer. Sign Lang. II, 20773,701,"Amidon, Kimberly",10:05 AM, 11:20 AM,TH,0
2016,Spring,ASL 202,Intermediate Amer.Sign Lang.II, 20861,601,"Sakellariou, Amy",11:40 AM, 12:55 PM,TH,4
2016,Spring,ASL 202,Intermediate Amer.Sign Lang.II, 20860,701,"Sakellariou, Amy",11:40 AM, 12:55 PM,TH,0
2016,Spring,AST 100,Intro to Asia and Middle East, 23165,001,"Steadman, Sharon",4:25 PM,5:45 PM ,H,0
2016,Spring,AST 100,Intro to Asia and Middle East, 23166,L01,"Steadman, Sharon",5:50 PM,7:35 PM ,H,0
2016,Spring,ATH 121,Art in the Ancient World, 20448,001,"De Dominick, Allison",10:05 AM, 11:20 AM,TH,7
2016,Spring,ATH 122,Art in the Modern World, 20449,001,"Kramer, Kathryn",2:50 PM,4:05 PM ,TH,26
2016,Spring,ATH 122,Art in the Modern World, 21721,002,"Kramer, Kathryn",11:40 AM, 12:55 PM,TH,6
2016,Spring,ATH 223,Art History III, 21324,001,Staff,TBA,TBA,,0
2016,Spring,ATH 223,Art History III, 22237,002,"Parks, Paul",4:20 PM,6:50 PM ,W,45
2016,Spring,ATH 320,History&Theory of Digital Arts, 22238,601,"Logan, Susan",5:45 PM,8:15 PM ,T,7
2016,Spring,ATH 320,History&Theory of Digital Arts, 22239,701,"Logan, Susan",5:45 PM,8:15 PM ,T,3
2016,Spring,ATH 329,Spec Topics in Art & Art Hist, 21627,001,"Grossman, Elena",6:00 PM,7:15 PM ,WM,10
2016,Spring,ATH 341,15&16 Century Paint-N Europe, 22066,001,"De Dominick, Allison",2:50 PM,4:05 PM ,TH,9
2016,Spring,ATH 344,"Renaissance,Mannerism,Baroque", 21933,001,"De Dominick, Allison",1:15 PM,2:30 PM ,TH,12
2016,Spring,ATR 102,Basic Techniques: Ath Training, 20789,601,"Donnelly, Trisha",11:30 AM, 12:20 PM,M,2
2016,Spring,ATR 102,Basic Techniques: Ath Training, 20790,602,"Donnelly, Trisha",11:30 AM, 12:20 PM,W,14
2016,Spring,ATR 102,Basic Techniques: Ath Training, 21682,603,"Donnelly, Trisha",11:30 AM, 12:20 PM,F,14
2016,Spring,ATR 222,Recognition & Eval of Injury, 20385,601,"Koesterer, Thomas",12:40 PM, 1:30 PM,WFM,6
2016,Spring,ATR 222,Recognition & Eval of Injury, 20386,L01,"Koesterer, Thomas",1:15 PM,2:30 PM ,H,6
2016,Spring,ATR 223,Intro to Clinical Skills, 20387,501,"Williams, Amanda",11:30 AM, 12:20 PM,WM,6
2016,Spring,ATR 233,Field Exp: Athletic Training I, 21296,601,"Donnelly, Trisha",10:20 AM, 11:10 AM,F,1
2016,Spring,ATR 233,Field Exp: Athletic Training I, 21293,602,"Donnelly, Trisha",10:20 AM, 11:10 AM,W,4
2016,Spring,ATR 318,General Medical Conditions, 20388,601,"Gunn, Lacy",10:20 AM, 11:10 AM,WFM,7
2016,Spring,ATR 324,Applied Clinical Skills, 20389,601,"Donnelly, Patrick",11:30 AM, 12:20 PM,WM,7
2016,Spring,ATR 333,Field Exp:Athletic Training II, 22086,501,Staff,TBA,TBA,,5
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21294,501,"Deedy, Patrick",4:00 PM,4:50 PM ,M,5
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21295,502,"Donnelly, Trisha",4:00 PM,4:50 PM ,M,4
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21297,503,"Meyer, Steven",4:00 PM,4:50 PM ,M,4
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21298,504,"Williams, Amanda",4:00 PM,4:50 PM ,M,4
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21299,505,"Gunn, Lacy",4:00 PM,4:50 PM ,M,2
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21300,506,"Engels, Jeffrey",4:00 PM,4:50 PM ,M,5
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21301,507,"Comins, Sonya",4:00 PM,4:50 PM ,M,4
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21302,508,"Dearie, Alyson",4:00 PM,4:50 PM ,M,4
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21476,509,Staff,4:00 PM,4:50 PM ,M,6
2016,Spring,ATR 334,Field Exp: Athletic Train III, 21759,512,Staff,TBA,TBA,,0
2016,Spring,ATR 343,Therapeutic Modalities, 20390,601,"Dearie, Alyson",09:10 AM, 10:00 AM,WFM,5
2016,Spring,ATR 343,Therapeutic Modalities, 20391,L01,"Dearie, Alyson",11:40 AM, 12:30 PM,TH,2
2016,Spring,ATR 343,Therapeutic Modalities, 20491,L02,"Dearie, Alyson",08:30 AM, 09:20 AM,TH,3
2016,Spring,ATR 360,Psycho-Social Intervention, 20992,601,"Comins, Sonya",08:30 AM, 09:20 AM,T,7
2016,Spring,ATR 362,Adv Conditioning & Rehab Exer., 21084,601,"Comins, Sonya",11:40 AM, 12:30 PM,TH,3
2016,Spring,ATR 362,Adv Conditioning & Rehab Exer., 21303,L01,"Comins, Sonya",12:40 PM, 1:30 PM,WM,3
2016,Spring,ATR 421,Athletic Injury Risk Mgmt., 20844,601,"Williams, Amanda",09:10 AM, 10:00 AM,WFM,2
2016,Spring,ATR 433,Field Exp: Athletic Train IV, 21482,501,"Gunn, Lacy",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 20492,501,"Koesterer, Thomas",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21454,502,"Koesterer, Thomas",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21389,503,"Koesterer, Thomas",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 20687,511,"Donnelly, Patrick",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21374,512,"Donnelly, Patrick",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21455,513,"Donnelly, Patrick",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 22554,514,"Donnelly, Trisha",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 20688,521,"Williams, Amanda",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21444,522,"Williams, Amanda",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21445,523,"Williams, Amanda",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 20689,531,"Dearie, Alyson",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21446,532,"Dearie, Alyson",TBA,TBA,,4
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21447,533,"Dearie, Alyson",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 20692,541,"Williams, Amanda",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21448,542,"Williams, Amanda",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21449,543,"Williams, Amanda",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21362,551,"Comins, Sonya",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21450,552,"Comins, Sonya",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21375,553,"Comins, Sonya",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21451,561,Staff,TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21452,562,"Williams, Amanda",TBA,TBA,,5
2016,Spring,ATR 444,Lab Assist: Athletic Training, 21453,563,Staff,TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 21379,500,"Koesterer, Thomas",TBA,TBA,,1
2016,Spring,ATR 499,Spec Study - Athletic Training, 20493,501,"Koesterer, Thomas",TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 20690,502,"Koesterer, Thomas",TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 20691,503,"Koesterer, Thomas",TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 21683,504,"Koesterer, Thomas",TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 22070,505,"Dearie, Alyson",TBA,TBA,,5
2016,Spring,ATR 499,Spec Study - Athletic Training, 22099,506,"Dearie, Alyson",TBA,TBA,,4
2016,Spring,ATS 101,Drawing I, 20291,001,"Mayer, Kevin",08:00 AM, 09:50 AM,WM,2
2016,Spring,ATS 101,Drawing I, 20292,002,"Thomas, Bryan",08:00 AM, 09:50 AM,TH,9
2016,Spring,ATS 102,Design I, 20293,001,"Thomas, Bryan",10:20 AM, 12:10 PM,TH,6
2016,Spring,ATS 102,Design I, 20294,002,"Thomas, Bryan",12:40 PM, 2:30 PM,TH,6
2016,Spring,ATS 103,Painting I, 20590,001,"Clark, Stephen",10:20 AM, 12:10 PM,TH,2
2016,Spring,ATS 103,Painting I, 21306,002,"Clark, Stephen",2:50 PM,4:40 PM ,TH,0
2016,Spring,ATS 104,Ceramics I, 20295,001,"Donovan, Jeremiah",12:40 PM, 2:30 PM,TH,1
2016,Spring,ATS 104,Ceramics I, 20296,002,"Donovan, Jeremiah",2:50 PM,4:40 PM ,TH,1
2016,Spring,ATS 106,Sculpture I, 20676,001,"Randall, Vaughn",10:20 AM, 12:10 PM,WM,3
2016,Spring,ATS 106,Sculpture I, 20677,002,"Randall, Vaughn",12:40 PM, 2:30 PM,WM,3
2016,Spring,ATS 107,Printmaking I, 22865,001,"Heasley, Charles",10:20 AM, 12:10 PM,WM,0
2016,Spring,ATS 108,Fibers I - Surface Design, 21325,001,"McNamara, Jennifer",3:00 PM,4:50 PM ,WM,14
2016,Spring,ATS 114,Photography I, 21795,501,"Heasley, Charles",08:00 AM, 09:50 AM,WM,2
2016,Spring,ATS 201,Drawing II, 20830,001,"Mayer, Kevin",10:20 AM, 12:10 PM,WM,5
2016,Spring,ATS 202,Design II, 20297,001,"Barnaby, Martine",12:40 PM, 2:30 PM,TH,6
2016,Spring,ATS 203,Painting II, 20298,001,"Clark, Stephen",12:40 PM, 2:30 PM,TH,1
2016,Spring,ATS 204,Ceramics II, 20299,001,"Donovan, Jeremiah",5:45 PM,9:35 PM ,H,6
2016,Spring,ATS 206,Sculpture II, 20673,001,"Randall, Vaughn",3:00 PM,4:50 PM ,WM,3
2016,Spring,ATS 208,Fibers II - Weaving, 21326,001,"McNamara, Jennifer",12:40 PM, 2:30 PM,WM,5
2016,Spring,ATS 214,Digital Imaging, 21935,001,"Heasley, Charles",5:45 PM,9:35 PM ,M,5
2016,Spring,ATS 301,Drawing III, 20912,001,"Mayer, Kevin",12:40 PM, 2:30 PM,WM,3
2016,Spring,ATS 303,Painting III, 20301,001,"Clark, Stephen",12:40 PM, 2:30 PM,TH,3
2016,Spring,ATS 304,Ceramics III, 20302,001,"Donovan, Jeremiah",5:45 PM,9:35 PM ,H,0
2016,Spring,ATS 306,Sculpture III, 20674,001,"Randall, Vaughn",3:00 PM,4:50 PM ,WM,3
2016,Spring,ATS 308,Fibers III, 21327,001,"McNamara, Jennifer",10:20 AM, 12:10 PM,WM,1
2016,Spring,ATS 340,Graphic Design  II, 21130,001,"Grossman, Elena",12:40 PM, 2:30 PM,WM,10
2016,Spring,ATS 342,Art and the Internet, 21115,001,"Grossman, Elena",3:00 PM,4:50 PM ,WM,1
2016,Spring,ATS 345,Animation Techniques, 22871,001,"Barnaby, Martine",10:20 AM, 12:10 PM,TH,6
2016,Spring,ATS 401,Drawing IV, 21003,001,"Mayer, Kevin",12:40 PM, 2:30 PM,WM,1
2016,Spring,ATS 403,Painting IV, 20303,001,"Clark, Stephen",12:40 PM, 2:30 PM,TH,1
2016,Spring,ATS 404,Ceramics IV, 20304,001,"Donovan, Jeremiah",5:45 PM,9:35 PM ,H,3
2016,Spring,ATS 406,Sculpture IV, 20675,001,"Randall, Vaughn",3:00 PM,4:50 PM ,WM,4
2016,Spring,ATS 408,Fibers IV, 21328,001,"McNamara, Jennifer",10:20 AM, 12:10 PM,WM,4
2016,Spring,ATS 440,Portfolio Practicum, 21724,001,"Barnaby, Martine",2:50 PM,4:40 PM ,TH,4
2016,Spring,ATS 451,Advanced Studio I, 21937,501,"Donovan, Jeremiah",TBA,TBA,,2
2016,Spring,ATS 451,Advanced Studio I, 21938,502,"Grossman, Elena",TBA,TBA,,2
2016,Spring,ATS 451,Advanced Studio I, 21939,503,"McNamara, Jennifer",TBA,TBA,,1
2016,Spring,ATS 451,Advanced Studio I, 21940,504,"Heasley, Charles",TBA,TBA,,2
2016,Spring,ATS 451,Advanced Studio I, 21941,505,"Randall, Vaughn",TBA,TBA,,2
2016,Spring,ATS 451,Advanced Studio I, 21942,506,"Barnaby, Martine",TBA,TBA,,2
2016,Spring,ATS 451,Advanced Studio I, 23171,507,"Clark, Stephen",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21943,501,"Randall, Vaughn",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21944,502,"Grossman, Elena",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21945,503,"Heasley, Charles",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21946,504,"Barnaby, Martine",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21947,505,"McNamara, Jennifer",TBA,TBA,,2
2016,Spring,ATS 452,Advanced Studio II, 21948,506,"Donovan, Jeremiah",TBA,TBA,,1
2016,Spring,ATS 452,Advanced Studio II, 23172,507,"Clark, Stephen",TBA,TBA,,2
2016,Spring,ATS 498,Bachelor Fine Arts: Thesis I, 21312,501,"Heasley, Charles",TBA,TBA,,2
